date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2023-07-09,1477,494594.243,230578.9486,0.06,172212.2974,recession,700.0,0.45,23280.3428,72091.21919999999,265.98,122341.93400000001,74,0,42006.2214,228793.33620000002,Freelance,93224.2168,Healthcare,Negative,53.8,Medium,264015.2944,1
2023-08-08,1657,361592.7172,225780.6694,0.33,256416.2458,recession,630.0,0.37,52289.894799999995,61200.224799999996,709.28,122039.60339999999,22,0,69530.7184,102698.42439999999,Salary,139306.1384,Groceries,Positive,6.3,Low,135812.0478,0
2023-09-07,1275,364927.21979999996,258879.22059999997,0.14,239158.57679999998,normal,688.0,0.53,43065.708399999996,34299.0076,797.9399999999999,79540.43239999999,76,0,20249.944,243405.3908,Salary,81274.622,Healthcare,Positive,64.1,Low,106047.99919999999,0
2023-10-07,1908,378408.8594,224752.21339999998,0.13,161433.9012,recession,750.0,0.5,41677.292799999996,44257.2988,265.98,82283.5728,80,0,38197.3878,226641.55800000002,Freelance,95471.74779999998,Utilities,Positive,76.0,Low,153656.64599999998,0
2023-11-06,1585,484683.82820000005,311919.179,0.15,272688.9022,normal,675.0,0.33,26598.886599999998,37194.6432,709.28,77370.03559999999,29,0,49224.032,178288.1672,Salary,111489.95,Education,Positive,87.6,Low,172764.64919999999,0
2019-01-01,1177,318634.2874,301605.3612,0.25,191108.4032,normal,619.0,0.13,64332.5826,61954.721399999995,620.62,164922.6722,96,0,30907.762600000002,285531.30319999997,Salary,76466.5902,Insurance,Positive,68.3,High,17028.926199999998,0
2019-01-31,1900,462478.93119999993,266258.39239999995,0.25,291428.0798,normal,695.0,0.25,28602.6026,18400.4964,354.64,38111.3876,25,0,13537.4954,128244.91679999999,Mixed,96114.53279999999,Entertainment,Negative,77.3,Low,196220.53879999998,0
2019-03-02,1213,354412.14379999996,198914.02959999998,0.16,200188.9604,normal,683.0,0.45,35404.597799999996,62526.5784,177.32,41379.3952,32,0,68867.5416,192442.7362,Salary,231812.20919999998,Education,Neutral,37.1,Medium,155498.11419999998,0
2019-04-01,1855,428998.25539999997,389431.9572,0.26,290328.6958,recession,645.0,0.5,64109.1594,81481.19979999999,620.62,108766.3148,87,0,41721.6228,171272.50139999998,Salary,83036.2962,Groceries,Positive,23.8,Low,39566.2982,0
2019-05-01,1094,320354.2914,94795.272,0.25,298413.6012,recession,649.0,0.48,45792.0034,41233.9928,709.28,54033.837,93,0,20114.2942,284790.9922,Freelance,43086.1002,Groceries,Neutral,99.4,High,225559.0194,0
2019-05-31,1900,359577.4754,416651.4638,0.16,168980.6404,normal,764.0,0.41,23267.0438,42834.305799999995,531.96,31413.1246,24,0,30392.648,115959.3006,Mixed,76259.1258,Transportation,Neutral,38.0,Low,0.0,0
2019-06-30,1483,401953.4089999999,300636.3074,0.16,187002.5586,normal,658.0,0.27,50406.7564,10818.2932,620.62,118118.1716,84,0,77174.097,298102.4046,Mixed,187446.74519999998,Investments,Neutral,25.8,High,101317.1016,0
2019-07-30,1512,490538.048,71895.2806,0.32,242194.29519999996,inflation,691.0,0.14,36961.467399999994,20275.6554,797.9399999999999,145001.6568,59,0,48327.6794,189406.1312,Mixed,138534.7964,Investments,Positive,45.2,Medium,418642.7674,1
2019-08-29,1458,469475.97839999996,154272.83299999998,0.11,276527.88019999996,normal,726.0,0.16,46611.2218,31629.454999999998,709.28,88933.0728,24,0,71934.291,114690.57599999999,Freelance,88725.6084,Transportation,Positive,72.3,Low,315203.1454,1
2019-09-28,1038,328534.9496,263537.41699999996,0.18,254858.48959999997,normal,692.0,0.11,60833.172399999996,0.0,354.64,125952.16919999999,77,0,4207.8036,93311.9902,Salary,119429.453,Groceries,Negative,97.4,Medium,64997.5326,0
2019-10-28,1595,400901.9014,277676.9138,0.37,268201.8196,normal,645.0,0.41,24907.2538,26894.124399999997,88.66,89900.35339999999,90,0,16591.8324,153474.89299999998,Salary,32678.302799999998,Entertainment,Negative,62.2,High,123224.9876,0
2019-11-27,1205,321792.3566,297244.1758,0.06,235716.79559999998,normal,727.0,0.39,419.3618,43923.0506,620.62,114773.91639999999,23,0,47183.9654,197453.79940000002,Salary,129942.7558,Education,Neutral,73.8,Low,24548.1808,0
2019-12-27,1511,229289.8322,224667.0998,0.09,213620.9504,inflation,613.0,0.56,53562.165799999995,86876.1608,620.62,16453.5228,34,0,60200.14,184243.4594,Salary,149108.38799999998,Healthcare,Positive,50.3,Medium,4622.7324,0
2020-01-26,1084,326007.253,201793.7064,0.17,272547.9328,normal,753.0,0.57,32523.1478,53292.6394,797.9399999999999,73950.4194,36,0,12965.6384,240786.3744,Salary,127783.8848,Groceries,Positive,74.5,Medium,124213.5466,0
2020-02-25,1799,291285.3372,238648.7818,0.21,263025.8488,recession,714.0,0.47,62651.58899999999,36017.2384,620.62,17296.6794,76,0,51984.0178,120744.28080000001,Salary,99420.66419999998,Entertainment,Positive,33.8,High,52636.555400000005,0
2020-03-26,1866,338223.7144,179147.28259999998,0.14,244469.3108,recession,670.0,0.18,32610.0346,59089.2302,709.28,166053.9738,37,0,47692.873799999994,218342.0954,Freelance,41247.2918,Healthcare,Positive,96.9,Low,159076.4318,0
2020-04-25,1949,202335.419,160334.5172,0.08,180577.3684,normal,612.0,0.43,50869.56159999999,43419.4618,443.29999999999995,43172.986999999994,93,0,38841.0594,220829.895,Salary,82320.81,Investments,Positive,55.7,Low,42000.9018,0
2020-05-25,1730,354960.9492,377199.53699999995,0.17,226983.78559999997,normal,628.0,0.46,58555.497,68030.5912,88.66,70419.0916,57,0,46548.273199999996,88660.0,Salary,142708.0226,Insurance,Positive,71.8,Low,0.0,0
2020-06-24,1355,369690.035,271687.9308,0.39,291627.5648,normal,658.0,0.24,56182.955400000006,67323.0844,709.28,92211.7196,60,0,34049.873,270008.7104,Salary,137959.39299999998,Insurance,Positive,46.4,Medium,98002.10419999999,0
2020-07-24,1166,368345.9494,272215.4578,0.37,280930.7358,inflation,682.0,0.35,56280.4814,42174.6754,797.9399999999999,64150.82959999999,53,0,49961.6832,203735.3604,Mixed,197073.448,Investments,Positive,93.6,High,96130.4916,0
2020-08-23,1694,490377.57339999994,88323.9786,0.26,148415.9534,inflation,668.0,0.1,49985.621399999996,52939.7726,531.96,115648.9906,50,0,38782.5438,167327.13139999998,Salary,110776.237,Utilities,Neutral,69.7,High,402053.59479999996,1
2020-09-22,1230,199396.34,390901.0534,0.1,308534.14019999997,inflation,681.0,0.35,73833.3882,27686.744799999997,354.64,130832.9022,73,0,20093.9024,137174.752,Salary,122403.99599999998,Investments,Positive,9.6,Low,0.0,0
2020-10-22,1306,364221.4862,229734.9054,0.2,345801.48459999997,recession,668.0,0.1,26435.7522,3663.4312,177.32,59390.6742,76,0,35480.8454,191307.00160000002,Salary,131642.368,Transportation,Positive,28.8,Medium,134486.5808,0
2020-11-21,1856,290961.7282,260418.3582,0.09,263803.397,normal,621.0,0.22,8146.0808,55460.376399999994,531.96,145655.96759999997,89,0,51403.294799999996,264407.1716,Salary,96994.92659999999,Dining Out,Positive,40.7,Low,30543.37,0
2020-12-21,1310,322917.452,166014.9634,0.25,174841.95299999998,normal,721.0,0.16,69373.7902,37527.1182,177.32,101058.21439999998,50,0,36215.8368,204212.3512,Salary,136554.132,Insurance,Neutral,4.5,Low,156902.4886,0
2021-01-20,1332,307065.93059999996,290090.2004,0.08,243223.6378,normal,604.0,0.16,36816.064999999995,35163.4426,443.29999999999995,129839.0236,45,0,19670.1076,168018.6794,Salary,140539.399,Healthcare,Neutral,91.8,High,16975.730199999998,0
2021-02-19,1071,407765.9586,315990.4462,0.3,312794.2532,inflation,657.0,0.37,34189.955799999996,65276.81159999999,531.96,44681.09359999999,21,0,53747.4652,204562.5582,Salary,128699.74259999998,Utilities,Positive,61.4,Low,91775.5124,0
2021-03-21,1371,299300.2012,232937.30459999997,0.07,301675.4026,normal,661.0,0.23,78490.69799999999,51425.4598,177.32,47194.60459999999,87,1,40713.5586,236303.7248,Salary,115824.5374,Insurance,Negative,23.5,Medium,66362.8966,0
2021-04-20,1938,356756.31419999996,120605.97119999999,0.17,297690.1356,recession,740.0,0.21,41727.829,0.0,620.62,178918.5398,77,0,73604.64540000001,235056.2786,Salary,75502.856,Healthcare,Positive,87.0,Low,236150.343,0
2021-05-20,1260,441173.9332,346016.9284,0.27,210172.0764,normal,535.0,0.43,102124.79419999999,28239.9832,443.29999999999995,52543.4624,58,0,30761.473599999998,196366.8278,Salary,72284.49799999999,Insurance,Positive,93.5,Low,95157.0048,0
2021-06-19,1277,343485.6854,237067.974,0.06,280182.44539999997,inflation,709.0,0.42,31908.733999999997,0.0,797.9399999999999,17066.1634,21,0,73295.222,187187.858,Salary,109879.8844,Utilities,Positive,22.5,Medium,106417.71139999999,0
2021-07-19,1446,313823.5958,105710.2046,0.07,226512.1144,normal,731.0,0.4,60357.068199999994,11568.356799999998,265.98,26891.4646,91,0,56878.04979999999,128219.2054,Freelance,112526.3854,Transportation,Negative,34.0,Low,208113.3912,0
2021-08-18,1917,251109.9448,418191.488,0.39,240449.46639999998,normal,648.0,0.23,30678.133199999997,42543.501000000004,88.66,103331.4568,68,0,34624.3898,207188.66739999998,Salary,104543.439,Insurance,Negative,63.3,Medium,0.0,0
2021-09-17,1209,306467.47559999995,258036.95059999998,0.3,306581.84699999995,normal,611.0,0.48,43686.3284,19756.9944,620.62,52487.6066,68,0,38077.6968,181310.58659999998,Salary,59402.2,Groceries,Neutral,10.7,Low,48430.525,0
2021-10-17,1896,261984.09379999997,444327.5694,0.19,313255.2852,inflation,696.0,0.35,28730.273,53924.7852,88.66,85086.1154,69,0,45808.84879999999,239485.7322,Salary,168690.7222,Rent,Neutral,1.0,High,0.0,0
2021-11-16,1335,387841.39679999993,417066.39259999996,0.2,228835.893,normal,666.0,0.28,70185.9158,24414.3042,797.9399999999999,48148.586200000005,51,0,14488.817199999998,184348.0782,Freelance,121921.6856,Dining Out,Positive,48.0,High,0.0,0
2021-12-16,1604,282468.9868,152606.025,0.15,190462.95839999997,normal,613.0,0.32,37365.757,35759.237799999995,88.66,85042.672,56,0,40183.3718,127753.7404,Salary,72023.8376,Insurance,Positive,98.9,Low,129862.96179999999,0
2022-01-15,1895,279320.6702,244672.34219999998,0.05,240421.09519999998,inflation,753.0,0.16,47744.296599999994,37074.0656,531.96,61109.7916,52,0,66339.845,122727.605,Salary,97660.7632,Transportation,Neutral,8.8,Low,34648.328,0
2022-02-14,1662,336647.3396,247600.78199999998,0.37,217553.908,inflation,690.0,0.34,33024.0768,2253.7372,88.66,141246.9058,63,0,81582.27219999999,217445.74279999998,Salary,122380.0578,Dining Out,Positive,97.7,Low,89046.5576,0
2022-03-16,1461,279535.2274,167219.8528,0.13,295630.56379999995,inflation,754.0,0.54,64573.7378,28841.097999999998,797.9399999999999,87643.9564,61,0,29204.603999999996,119730.0104,Salary,56973.802599999995,Insurance,Positive,57.6,Low,112315.3746,0
2022-04-15,1243,439197.7017999999,267140.5594,0.31,259762.27419999999,inflation,651.0,0.56,98435.6516,46200.726,797.9399999999999,130511.953,88,0,45884.2098,137769.6606,Salary,49385.3932,Dining Out,Negative,45.5,Medium,172057.1424,0
2022-05-15,1894,469851.89679999993,218169.20839999997,0.34,298530.6324,recession,636.0,0.25,43989.5456,23438.1576,354.64,26200.8032,49,0,45070.311,226662.8364,Salary,113654.1406,Groceries,Neutral,38.1,Low,251682.68839999998,0
2022-06-14,1446,289585.725,122380.0578,0.23,222713.0334,normal,708.0,0.19,14594.322600000001,41177.2504,620.62,96204.96599999999,97,0,36171.5068,235509.33120000002,Salary,63859.138199999994,Groceries,Positive,99.5,High,167205.6672,0
2022-07-14,1827,337359.2794,181456.8756,0.38,257619.36199999996,normal,741.0,0.27,20601.0376,27198.228199999998,709.28,86957.72799999999,75,0,44778.6196,235616.6098,Salary,72594.80799999999,Entertainment,Positive,76.2,Low,155902.4038,0
2022-08-13,1063,416277.3186,401313.28380000003,0.2,197971.57379999998,normal,746.0,0.52,13265.3092,98795.61119999998,88.66,104091.27299999999,86,0,63946.024999999994,140533.1928,Salary,113271.12939999999,Investments,Positive,4.4,Medium,14964.0348,0
2022-09-12,1579,271529.2294,210494.7988,0.37,240745.5908,normal,691.0,0.28,43659.7304,27708.909799999998,531.96,173131.7016,49,0,70910.268,197833.26419999998,Freelance,91707.24419999999,Investments,Neutral,33.3,Medium,61034.43059999999,0
2022-10-12,1866,227668.2408,231553.322,0.22,302164.8058,normal,663.0,0.41,44810.5372,0.0,88.66,35232.5974,32,0,35408.1442,169632.2914,Freelance,164562.7126,Investments,Positive,4.9,High,0.0,0
2022-11-11,1737,315997.539,209678.24019999997,0.26,252353.84459999998,inflation,711.0,0.14,48239.906,4260.9996,354.64,35242.35,68,0,25338.1414,213926.82739999998,Salary,82538.027,Insurance,Negative,53.1,Medium,106319.2988,0
2022-12-11,1370,267602.478,252139.28739999997,0.18,214292.1066,normal,635.0,0.36,64085.2212,38852.5852,265.98,88427.7108,71,0,60961.729400000004,222950.6422,Freelance,136110.832,Utilities,Positive,7.1,High,15463.1906,0
2023-01-10,1807,388856.5538,216908.4632,0.37,232152.6636,normal,718.0,0.19,53976.20799999999,22099.3916,797.9399999999999,99475.63339999999,31,0,34542.8226,219296.07699999996,Salary,115884.8262,Education,Positive,50.0,High,171948.0906,0
2023-02-09,1214,298373.7042,390979.0742,0.28,193149.3564,normal,683.0,0.22,55570.31479999999,62606.37239999999,620.62,89910.106,54,0,27948.2918,241683.61359999998,Mixed,129052.60939999999,Entertainment,Negative,52.2,Low,0.0,0
2023-03-11,1128,425388.90679999994,340858.6896,0.3,305126.0498,normal,685.0,0.18,54603.0342,29407.6354,531.96,59038.693999999996,83,0,69498.8008,220249.17199999996,Salary,109201.6354,Dining Out,Positive,89.1,Low,84530.2172,0
